17/03/24 01:06:19 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/24 01:06:20 INFO client.RMProxy: Connecting to ResourceManager at cluster-2-m/10.138.0.7:8032
17/03/24 01:06:21 INFO gcsio.CacheSupplementedGoogleCloudStorage: Populating missing itemInfo on-demand for entry: gs://dataproc-1a827518-6b9d-4d03-9d4f-6782f49e30aa-us/output_full/_temporary/
17/03/24 01:06:21 WARN gcsio.CacheSupplementedGoogleCloudStorage: Possible stale CacheEntry; failed to fetch item info for: gs://dataproc-1a827518-6b9d-4d03-9d4f-6782f49e30aa-us/output_full/_temporary/ - removing from cache
17/03/24 01:06:21 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/24 01:06:23 INFO input.FileInputFormat: Total input paths to process : 3033
17/03/24 01:06:23 INFO mapreduce.JobSubmitter: number of splits:3033
17/03/24 01:06:23 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490317043049_0002
17/03/24 01:06:24 INFO impl.YarnClientImpl: Submitted application application_1490317043049_0002
17/03/24 01:06:24 INFO mapreduce.Job: The url to track the job: http://cluster-2-m:8088/proxy/application_1490317043049_0002/
17/03/24 01:06:24 INFO mapreduce.Job: Running job: job_1490317043049_0002
17/03/24 01:06:30 INFO mapreduce.Job: Job job_1490317043049_0002 running in uber mode : false
17/03/24 01:06:30 INFO mapreduce.Job:  map 0% reduce 0%
17/03/24 01:06:54 INFO mapreduce.Job:  map 1% reduce 0%
17/03/24 01:07:19 INFO mapreduce.Job:  map 2% reduce 0%
17/03/24 01:07:50 INFO mapreduce.Job:  map 3% reduce 0%
17/03/24 01:08:18 INFO mapreduce.Job:  map 4% reduce 0%
17/03/24 01:08:46 INFO mapreduce.Job:  map 5% reduce 0%
17/03/24 01:09:15 INFO mapreduce.Job:  map 6% reduce 0%
17/03/24 01:09:43 INFO mapreduce.Job:  map 7% reduce 0%
17/03/24 01:10:09 INFO mapreduce.Job:  map 8% reduce 0%
17/03/24 01:10:38 INFO mapreduce.Job:  map 9% reduce 0%
17/03/24 01:11:07 INFO mapreduce.Job:  map 10% reduce 0%
17/03/24 01:11:35 INFO mapreduce.Job:  map 11% reduce 0%
17/03/24 01:12:02 INFO mapreduce.Job:  map 12% reduce 0%
17/03/24 01:12:31 INFO mapreduce.Job:  map 13% reduce 0%
17/03/24 01:12:56 INFO mapreduce.Job:  map 14% reduce 0%
17/03/24 01:13:24 INFO mapreduce.Job:  map 15% reduce 0%
17/03/24 01:13:52 INFO mapreduce.Job:  map 16% reduce 0%
17/03/24 01:14:17 INFO mapreduce.Job:  map 17% reduce 0%
17/03/24 01:14:47 INFO mapreduce.Job:  map 18% reduce 0%
17/03/24 01:15:15 INFO mapreduce.Job:  map 19% reduce 0%
17/03/24 01:15:42 INFO mapreduce.Job:  map 20% reduce 0%
17/03/24 01:16:10 INFO mapreduce.Job:  map 21% reduce 1%
17/03/24 01:16:40 INFO mapreduce.Job:  map 22% reduce 1%
17/03/24 01:17:09 INFO mapreduce.Job:  map 23% reduce 1%
17/03/24 01:17:37 INFO mapreduce.Job:  map 24% reduce 1%
17/03/24 01:18:05 INFO mapreduce.Job:  map 25% reduce 1%
17/03/24 01:18:31 INFO mapreduce.Job:  map 26% reduce 1%
17/03/24 01:19:00 INFO mapreduce.Job:  map 27% reduce 1%
17/03/24 01:19:30 INFO mapreduce.Job:  map 28% reduce 1%
17/03/24 01:19:58 INFO mapreduce.Job:  map 29% reduce 1%
17/03/24 01:20:26 INFO mapreduce.Job:  map 30% reduce 1%
17/03/24 01:20:54 INFO mapreduce.Job:  map 31% reduce 1%
